NOTE=SCREENING ORDER ONLY; NOT AN AUTO PICK OR CONFIDENCE
FIELDS=rank|score|fixture|kickoff|league|match|side|team|odds|book|side_form|side_venue|opp_form|opp_venue|ranks|points|h2h_wdl|common_edge/common_n|injuries

01|6.075|1557945|2026-08-04T16:45:00+00:00|Israel / Toto Cup Ligat Al|Ironi Kiryat Shmona vs Bnei Sakhnin|home|Ironi Kiryat Shmona|1.95|Bet365|2-1-2 GF6 GA5|4-0-1 GF11 GA4|0-0-6 GF2 GA14|0-0-5 GF1 GA11|None:None|None:None|3-1-2|1.21/7|0
02|5.758|1563636|2026-08-04T15:30:00+00:00|Russia / Cup|Dinamo Makhachkala vs Krylia Sovetov|home|Dinamo Makhachkala|2.08|Pinnacle|4-1-1 GF12 GA7|4-0-1 GF11 GA5|0-2-3 GF4 GA8|0-2-2 GF2 GA5|None:None|None:None|4-1-1|-0.25/4|0
03|5.036|1551656|2026-08-04T02:00:00+00:00|Costa-Rica / Primera División|Perez Zeledon vs CS Cartagines|away|CS Cartagines|1.95|Bet365|3-2-1 GF11 GA4|2-2-1 GF9 GA4|0-2-4 GF5 GA15|1-3-1 GF8 GA7|4:10|3:0|4-1-1|1.44/8|0
04|4.277|1549709|2026-08-04T21:10:00+00:00|Colombia / Primera A|Llaneros vs Fortaleza FC|home|Llaneros|2.1|Bet365|4-1-1 GF9 GA3|3-2-0 GF8 GA2|1-4-1 GF6 GA4|0-3-2 GF3 GA5|6:11|4:2|2-2-2|0.00/7|0
05|4.151|1545399|2026-08-04T22:00:00+00:00|Bolivia / Primera División|Independiente Petrolero vs Aurora|away|Aurora|2.45|Bet365|3-2-1 GF10 GA8|2-2-1 GF6 GA5|1-0-5 GF7 GA11|1-1-3 GF5 GA8|4:9|21:15|3-0-3|0.94/8|0
06|3.876|1549999|2026-08-04T18:00:00+00:00|Argentina / Torneo Promocional Amateur|Ezeiza vs Everton La Plata|home|Ezeiza|1.73|Bet365|3-2-1 GF6 GA4|2-1-2 GF5 GA6|1-0-5 GF2 GA6|1-0-4 GF4 GA7|10:14|12:8|1-1-1|0.56/8|0
07|3.362|1607166|2026-08-04T17:30:00+00:00|World / UEFA Champions League|Hapoel Beer Sheva vs FK Crvena Zvezda|away|FK Crvena Zvezda|1.75|Bet365|4-0-1 GF18 GA4|2-1-1 GF7 GA4|1-1-3 GF7 GA10|2-0-3 GF10 GA12|None:None|None:None|0-0-0|0.00/0|0
08|3.214|1576857|2026-08-04T18:00:00+00:00|Argentina / Reserve League|Gimnasia Mendoza 2 vs River Plate Res.|away|River Plate Res.|1.91|Bet365|4-1-1 GF9 GA3|3-1-1 GF3 GA1|3-1-2 GF7 GA5|2-1-2 GF5 GA4|4:13|4:3|1-0-0|0.81/8|0
09|2.853|1610530|2026-08-04T12:00:00+00:00|Indonesia / Piala Presiden|Persebaya Surabaya vs Arema FC|home|Persebaya Surabaya|2.15|Bet365|5-1-0 GF18 GA3|4-1-0 GF11 GA3|5-0-1 GF15 GA5|2-1-2 GF9 GA7|1:2|9:6|4-2-0|0.50/7|0
10|2.845|1530109|2026-08-04T23:45:00+00:00|World / Leagues Cup|FC Cincinnati vs CF Pachuca|home|FC Cincinnati|2.05|Bet365|4-1-1 GF21 GA13|4-0-1 GF20 GA13|3-0-3 GF8 GA5|2-0-3 GF5 GA5|None:None|None:None|0-0-0|0.00/0|0
